[11/19/2025 5:42:38 PM] RECEIVE data from RabbitMQ.stationQueue: {"StationTriNMId":3,"StationTriNMCode":"1111","StationTriNMName":"11","Address":"11","City":"11","Province":"11","Latitude":11,"Longitude":11,"Capacity":11,"CurrentAvailable":11,"Owner":"22","ContactPhone":"11","ContactEmail":"11@gmail.com","Description":"11","CreatedDate":"2025-11-19T17:42:15.9234047+07:00","ModifiedDate":null,"IsActive":true,"ImageURL":"11","ChargerTriNMs":[],"Location":"11"}
[11/19/2025 5:43:23 PM] RECEIVE data from RabbitMQ.stationQueue: {"StationTriNMId":3,"StationTriNMCode":"Ksks","StationTriNMName":"Mzzm","Address":"Nsns","City":"Smm","Province":"\u1EAC","Latitude":11,"Longitude":11,"Capacity":11,"CurrentAvailable":11,"Owner":"11","ContactPhone":"11","ContactEmail":"An@gmail.com ","Description":"M\n","CreatedDate":"2025-11-19T17:43:22.5367348+07:00","ModifiedDate":null,"IsActive":true,"ImageURL":"11","ChargerTriNMs":[],"Location":"Nsns"}
[11/19/2025 5:43:23 PM] RECEIVE data from RabbitMQ.stationQueue: {"StationTriNMId":3,"StationTriNMCode":"Ksks","StationTriNMName":"Mzzm","Address":"Nsns","City":"Smm","Province":"\u1EAC","Latitude":11,"Longitude":11,"Capacity":11,"CurrentAvailable":11,"Owner":"11","ContactPhone":"11","ContactEmail":"An@gmail.com ","Description":"M\n","CreatedDate":"2025-11-19T17:43:22.5367348+07:00","ModifiedDate":null,"IsActive":true,"ImageURL":"11","ChargerTriNMs":[],"Location":"Nsns"}
[11/19/2025 7:57:51 PM] RECEIVE data from RabbitMQ.stationQueue: {"StationTriNMId":3,"StationTriNMCode":"STN-20251119195750-4626","StationTriNMName":"sdsd","Address":"dsd","City":"Ho Chi Minh","Province":"Ho Chi Minh","Latitude":null,"Longitude":null,"Capacity":10,"CurrentAvailable":5,"Owner":"dsd","ContactPhone":"0123456789","ContactEmail":"de@gmail.com","Description":"Auto-generated station","CreatedDate":"2025-11-19T19:57:32.263823+07:00","ModifiedDate":null,"IsActive":true,"ImageURL":"","ChargerTriNMs":[],"Location":"dsd"}
[11/19/2025 7:57:56 PM] RECEIVE data from RabbitMQ.stationQueue: {"StationTriNMId":3,"StationTriNMCode":"STN-20251119195754-9840","StationTriNMName":"sdsd","Address":"dsd","City":"Ho Chi Minh","Province":"Ho Chi Minh","Latitude":null,"Longitude":null,"Capacity":10,"CurrentAvailable":5,"Owner":"dsd","ContactPhone":"0123456789","ContactEmail":"de@gmail.com","Description":"Auto-generated station","CreatedDate":"2025-11-19T19:57:32.263823+07:00","ModifiedDate":null,"IsActive":true,"ImageURL":"","ChargerTriNMs":[],"Location":"dsd"}
[11/19/2025 7:57:56 PM] RECEIVE data from RabbitMQ.stationQueue: {"StationTriNMId":3,"StationTriNMCode":"STN-20251119195754-9840","StationTriNMName":"sdsd","Address":"dsd","City":"Ho Chi Minh","Province":"Ho Chi Minh","Latitude":null,"Longitude":null,"Capacity":10,"CurrentAvailable":5,"Owner":"dsd","ContactPhone":"0123456789","ContactEmail":"de@gmail.com","Description":"Auto-generated station","CreatedDate":"2025-11-19T19:57:32.263823+07:00","ModifiedDate":null,"IsActive":true,"ImageURL":"","ChargerTriNMs":[],"Location":"dsd"}
[11/19/2025 7:57:57 PM] RECEIVE data from RabbitMQ.stationQueue: {"StationTriNMId":3,"StationTriNMCode":"STN-20251119195755-5761","StationTriNMName":"sdsd","Address":"dsd","City":"Ho Chi Minh","Province":"Ho Chi Minh","Latitude":null,"Longitude":null,"Capacity":10,"CurrentAvailable":5,"Owner":"dsd","ContactPhone":"0123456789","ContactEmail":"de@gmail.com","Description":"Auto-generated station","CreatedDate":"2025-11-19T19:57:32.263823+07:00","ModifiedDate":null,"IsActive":true,"ImageURL":"","ChargerTriNMs":[],"Location":"dsd"}
[11/19/2025 7:57:57 PM] RECEIVE data from RabbitMQ.stationQueue: {"StationTriNMId":3,"StationTriNMCode":"STN-20251119195755-5761","StationTriNMName":"sdsd","Address":"dsd","City":"Ho Chi Minh","Province":"Ho Chi Minh","Latitude":null,"Longitude":null,"Capacity":10,"CurrentAvailable":5,"Owner":"dsd","ContactPhone":"0123456789","ContactEmail":"de@gmail.com","Description":"Auto-generated station","CreatedDate":"2025-11-19T19:57:32.263823+07:00","ModifiedDate":null,"IsActive":true,"ImageURL":"","ChargerTriNMs":[],"Location":"dsd"}
[11/19/2025 7:57:57 PM] RECEIVE data from RabbitMQ.stationQueue: {"StationTriNMId":3,"StationTriNMCode":"STN-20251119195755-5270","StationTriNMName":"sdsd","Address":"dsd","City":"Ho Chi Minh","Province":"Ho Chi Minh","Latitude":null,"Longitude":null,"Capacity":10,"CurrentAvailable":5,"Owner":"dsd","ContactPhone":"0123456789","ContactEmail":"de@gmail.com","Description":"Auto-generated station","CreatedDate":"2025-11-19T19:57:32.263823+07:00","ModifiedDate":null,"IsActive":true,"ImageURL":"","ChargerTriNMs":[],"Location":"dsd"}
[11/19/2025 7:57:57 PM] RECEIVE data from RabbitMQ.stationQueue: {"StationTriNMId":3,"StationTriNMCode":"STN-20251119195755-5270","StationTriNMName":"sdsd","Address":"dsd","City":"Ho Chi Minh","Province":"Ho Chi Minh","Latitude":null,"Longitude":null,"Capacity":10,"CurrentAvailable":5,"Owner":"dsd","ContactPhone":"0123456789","ContactEmail":"de@gmail.com","Description":"Auto-generated station","CreatedDate":"2025-11-19T19:57:32.263823+07:00","ModifiedDate":null,"IsActive":true,"ImageURL":"","ChargerTriNMs":[],"Location":"dsd"}
[11/19/2025 7:57:57 PM] RECEIVE data from RabbitMQ.stationQueue: {"StationTriNMId":3,"StationTriNMCode":"STN-20251119195755-2311","StationTriNMName":"sdsd","Address":"dsd","City":"Ho Chi Minh","Province":"Ho Chi Minh","Latitude":null,"Longitude":null,"Capacity":10,"CurrentAvailable":5,"Owner":"dsd","ContactPhone":"0123456789","ContactEmail":"de@gmail.com","Description":"Auto-generated station","CreatedDate":"2025-11-19T19:57:32.263823+07:00","ModifiedDate":null,"IsActive":true,"ImageURL":"","ChargerTriNMs":[],"Location":"dsd"}
